company,year,esg_total,e_score,s_score,g_score,stock_price,dart_available,report_count
LG전자,2022,0.3,0.3,0.3,0.3,84352.4765625,False,0
LG전자,2023,0.3,0.3,0.3,0.3,100073.2109375,False,0
LG전자,2024,0.3,0.3,0.3,0.3,82453.7109375,False,0
NAVER,2022,0.3,0.3,0.3,0.3,175590.875,False,0
NAVER,2023,0.3,0.3,0.3,0.3,222906.609375,False,0
NAVER,2024,0.3,0.3,0.3,0.3,197929.125,False,0
SK하이닉스,2022,0.3,0.3,0.3,0.3,73143.796875,False,0
SK하이닉스,2023,0.3,0.3,0.3,0.3,139494.34375,False,0
SK하이닉스,2024,0.3,0.3,0.3,0.3,172222.671875,False,0
삼성전자,2022,0.3,0.3,0.3,0.3,52387.484375,False,0
삼성전자,2023,0.3,0.3,0.3,0.3,75920.3671875,False,0
삼성전자,2024,0.3,0.3,0.3,0.3,52563.3828125,False,0
