company,year,esg_avg,esg_last,n_docs,stock_price,market_cap
KB금융,2020,0.0167,0.0,6,34658.10546875,
KB금융,2021,0.0167,0.0,6,46289.8671875,
KB금융,2022,0.0167,0.0,6,43272.1484375,
KB금융,2023,0.0167,0.0,6,49750.640625,
KB금융,2024,0.0167,0.0,6,80639.7109375,
KB금융,2025,0.0167,0.0,6,117300.0,
LG전자,2020,0.0335,0.0,40,129816.453125,
LG전자,2021,0.0335,0.0,40,133523.71875,
LG전자,2022,0.0335,0.0,40,84352.46875,
LG전자,2023,0.0335,0.0,40,100073.2109375,
LG전자,2024,0.0335,0.0,40,82453.7109375,
LG전자,2025,0.0335,0.0,40,76400.0,
SK하이닉스,2020,0.01,0.0,10,112667.2734375,
SK하이닉스,2021,0.01,0.0,10,126074.7890625,
SK하이닉스,2022,0.01,0.0,10,73143.7734375,
SK하이닉스,2023,0.01,0.0,10,139494.34375,
SK하이닉스,2024,0.01,0.0,10,172222.671875,
SK하이닉스,2025,0.01,0.0,10,395500.0,
삼성전자,2020,0.0276,0.0,50,73546.0703125,
삼성전자,2021,0.0276,0.0,50,72393.0546875,
삼성전자,2022,0.0276,0.0,50,52387.484375,
삼성전자,2023,0.0276,0.0,50,75920.3671875,
삼성전자,2024,0.0276,0.0,50,52563.37890625,
삼성전자,2025,0.0276,0.0,50,89750.0,
현대자동차,2020,0.0588,0.0,15,157875.328125,
현대자동차,2021,0.0588,0.0,15,175856.921875,
현대자동차,2022,0.0588,0.0,15,132783.75,
현대자동차,2023,0.0588,0.0,15,181675.578125,
현대자동차,2024,0.0588,0.0,15,200720.453125,
현대자동차,2025,0.0588,0.0,15,220000.0,
